name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
Nhà Hàng Ẩm Thực Ba Miền 286 Quận Tân Phú,3.6,36,Nhà hàng,"Quán rộng, đẹp, thích hợp tiệc gia đình, tiếp khách.",286B Đ. Hòa Bình,10.769011,106.637536,0.5,"286b, Đường Hòa Bình, Ho Chi Minh City, HC, Vietnam"
Chè Cô Quy - Quán Chè Ngon Tân Bình,3.7,65,Gian hàng rong,"Quán chè bán rất nhiều món ngọt, đa dạng sự lựa chọn, lại rất ngon.",128 Phạm Văn Hai,10.7934573,106.6627562,1.0,"128, Phạm Văn Hai, Ho Chi Minh City, HC, Vietnam"
Bún thịt nướng Kiều Bảo,4.0,1320,Quán ăn nhỏ,". . . cách quán chăm chút từng phần ăn, nhìn đẹp mắt mà.",266 Lê Trọng Tấn,10.8071521,106.623113,1.0,"266, Lê Trọng Tấn, Ho Chi Minh City, HC, Vietnam"
Nhà hàng Hải Hoàng - CN Bình Tân,4.3,285,Nhà hàng,Quán ruột của mình mỗi khi thèm Vịt Bắc Kinh 3 món.,239 Đ. Vành Đai Trong,10.754888,106.615318,0.5,"239, Đường Vành Đai Trong, Ho Chi Minh City, HC, Vietnam"
KFC LÝ THƯỜNG KIỆT,4.6,1709,Món ăn nhanh,Quán ngon nhân viên nhiệt tình thái độ phục vụ tốt ko có gì để chê.,446 Đ. Lý Thường Kiệt,10.7860186,106.6537791,1.0,"446, Đường Lý Thường Kiệt, Ho Chi Minh City, HC, Vietnam"
HODORI Korean Restaurent- Jeonsoolbab,4.2,124,Nhà hàng,Nhân viên ở đây nhiệt tình còn nướng thịt dùm bọn mình nè.,27A Hậu Giang,10.8079281,106.6627837,0.7124999999999999,"27, Hau Giang, Ho Chi Minh City, 72106, Vietnam"
Nhà Hàng Maison Mận-Đỏ,4.6,610,Nhà hàng,,27J Trần Nhật Duật,10.7936855,106.6895192,0.95,"27, Trần Nhật Duật, Ho Chi Minh City, HC, Vietnam"
QUÁN ĂN 66 | CUA NGON QUẬN 1 | MIẾN CUA QUẬN 1 | CUA NGON SÀI GÒN,4.9,1449,Nhà hàng,"Đồ ăn ngon, nhân viên nhiệt tình, quán ở mặt tiền nên dễ kiếm.",66 Đinh Tiên Hoàng,10.7898472,106.6980786,1.0,"66, Đinh Tiên Hoàng, Ho Chi Minh City, HC, Vietnam"
Bún Đậu Ngõ Nhỏ Phố Nhỏ,4.0,569,Nhà hàng,. . . món chính quán có mấy món như bánh tôm hay ốc nhồi rất ngon.,158 Pasteur,10.7773229,106.6998263,0.9,"Nhà Hàng Secret Garden, 158, Hẻm 158 Pasteur, Saigon, Ho Chi Minh City, HC 71006, Vietnam"
Nhà hàng Cơm Xưa,3.7,311,Nhà hàng,Menu quán không quá nhiều món nhưng đủ để ăn trưa.,20 Trần Cao Vân,10.784324,106.697355,1.0,"Nhà Hàng Hồ Tây, 20, Trần Cao Vân, Saigon, Ho Chi Minh City, HC 71006, Vietnam"
Pachi Pachi Nướng Lẩu Nhật Bản,4.1,762,Món ăn Nhật Bản,"Ngoài ra, ở đây còn nổi tiếng với những loại nước sốt thơm ngon.",52 Mạc Đĩnh Chi,10.7872323,106.6968142,1.0,"52, Mạc Đĩnh Chi, Ho Chi Minh City, HC, Vietnam"
Xù Food - Đồ Ăn Hàn Việt,4.4,594,Quán ăn nhỏ,"Đồ ăn ngon, trang trí đẹp, quán sạch sẽ, nhân viên nhiệt tình.",135/30 Trần Hưng Đạo,10.7674358,106.6945984,0.5,"30, Đường Trần Hưng Đạo, Ho Chi Minh City, HC, Vietnam"
Marukame Udon,4.2,2753,mì udon,Điểm trừ là trứng ngâm tương chưa được lâu nên chưa đậm vị lắm.,215 Lý Tự Trọng,10.7727745,106.6955122,1.0,"Marukame Udon, 215, Ly Tu Trong Street, Ho Chi Minh City, HC 71009, Vietnam"
